Occupation,Education_Level,Experience_Required,Training_Required,Workers_Thousands,Growth_Rate_Pct,Annual_Openings_Thousands,Median_Annual_Wage
Construction managers,6,1,3,550.3,8.7,46.8,106980
Continuous mining machine operators,1,1,3,14.9,0.6,1.6,63380
"Control and valve installers and repairers, except mechanical door",2,1,3,47.7,1.3,3.9,74690
Conveyor operators and tenders,1,1,2,29.1,-3.4,2.6,41230
"Cooks, all other",1,1,3,24,5.5,3.7,36210
"Cooks, fast food",1,1,2,669.5,-13.5,82.1,30160
"Cooks, institution and cafeteria",1,1,2,466.1,2,69.7,36450
"Cooks, private household",4,2,1,34.2,5.1,5.3,44530
"Cooks, restaurant",1,2,3,1460.2,14.9,250.7,36830
"Cooks, short order",1,1,2,151.1,-5.6,20.6,35620
Cooling and freezing equipment operators and tenders,2,1,3,7.1,7.2,0.8,40160
Correctional officers and jailers,2,1,3,387.5,-7.8,30.1,57970
Correspondence clerks,2,1,2,6.9,-5.6,0.7,46740
Cost estimators,6,1,3,221.4,-4.2,16.9,77070
Costume attendants,2,1,2,6.7,5.9,1.8,54810
"Counselors, all other",7,1,1,69.1,12.6,7.4,49830
Counter and rental clerks,1,1,2,408.2,3.2,45.9,38540
Couriers and messengers,2,1,2,247.2,8.2,27.9,38340
Court reporters and simultaneous captioners,4,1,2,17.7,-0.3,1.7,67310
"Court, municipal, and license clerks",2,1,4,180.4,3,18.5,47700
Craft artists,1,1,4,11.6,2.1,1,38480
Crane and tower operators,2,2,3,42.3,3,3.8,66370
Credit analysts,6,1,1,67.8,-4.4,3.7,80970
"Credit authorizers, checkers, and clerks",2,1,3,12,-6.2,1,49130
Credit counselors,6,1,3,31.8,3.3,2.2,50480
Crematory operators,2,1,2,3.1,3.3,0.6,42880
"Criminal justice and law enforcement teachers, postsecondary",8,1,1,16.2,2,1.2,71470
Crossing guards and flaggers,1,1,2,91.4,3.6,18,37700
"Crushing, grinding, and polishing machine setters, operators, and tenders",2,1,3,28.7,-2.5,2.7,46890
Curators,7,1,1,15.1,7,1.8,61770
Customer service representatives,2,1,2,2814,-5.5,341.7,42830
"Cutters and trimmers, hand",1,1,2,7,-18.1,0.6,38800
"Cutting and slicing machine setters, operators, and tenders",2,1,3,49,-2.3,5.3,45700
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",2,1,3,174.7,-12.1,14.4,45590
Data entry keyers,2,1,2,141.6,-25.9,9.5,39850
Data scientists,6,1,1,245.9,33.5,23.4,112590
Database administrators,6,1,1,78,-0.7,3.8,104620
Database architects,6,2,1,66.9,8.7,4,135980
Demonstrators and product promoters,1,1,2,79.2,-0.1,14,37960
Dental assistants,4,1,1,381.9,6.4,52.9,47300
Dental hygienists,5,1,1,221.6,7,15.3,94260
Dental laboratory technicians,2,1,3,35.2,-4.7,3.9,48310
"Dentists, all other specialists",8,1,6,6.6,0.3,0.2,225770
"Dentists, general",8,1,1,129.8,4.1,3.9,172790
Dermatologists,8,1,6,10.9,6.4,0.4,239200
"Derrick operators, oil and gas",1,2,2,11.3,0.5,1,62740
"Designers, all other",6,1,1,28.6,2,2.2,66220
Desktop publishers,5,1,2,5,-12.4,0.4,53620
Detectives and criminal investigators,2,2,3,117.9,-0.7,7.8,93580
Diagnostic medical sonographers,5,1,1,90,13,5.8,89340
Dietetic technicians,5,1,1,30.9,2.5,4,37040
Dietitians and nutritionists,6,1,6,90.9,5.5,6.2,73850
Dining room and cafeteria attendants and bartender helpers,1,1,2,527.4,6.3,99.6,32670
"Directors, religious activities and education",6,2,1,138.9,2.1,13.8,54840
Dishwashers,1,1,2,477.7,0.2,76.8,33670
"Dispatchers, except police, fire, and ambulance",2,1,3,218.7,-0.9,18.5,48880
"Door-to-door sales workers, news and street vendors, and related workers",1,1,2,25.3,-10,2.7,34530
"Drafters, all other",5,1,1,17.1,-6.9,1.3,62010
Dredge operators,2,1,3,1.1,1.2,0.1,48430
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",2,1,3,5.3,-19.6,0.4,46630
Driver/sales workers,2,1,2,451.5,8.8,51.3,37130
Drywall and ceiling tile installers,1,1,3,103.1,4.2,7.7,58140
"Earth drillers, except oil and gas",2,2,4,18.3,2.9,1.7,59600
"Economics teachers, postsecondary",8,1,1,15.8,2.1,1.2,119980
Economists,7,1,1,17.6,1.2,0.9,115440
Editors,6,2,1,115.8,0.6,9.8,75260
"Education administrators, all other",6,2,1,60.2,2.5,4.1,89040
"Education administrators, kindergarten through secondary",7,3,1,333.3,-1.5,20.8,104070
"Education administrators, postsecondary",7,2,1,226.6,1.7,15.1,103960
"Education and childcare administrators, preschool and daycare",6,2,1,90.2,-2.5,5.5,56270
"Education teachers, postsecondary",8,2,1,74.9,2.1,5.6,72090
"Educational instruction and library workers, all other",6,1,1,132,1.5,12.5,48400
"Educational, guidance, and career counselors and advisors",7,1,1,376.3,3.5,31,65140
"Electric motor, power tool, and related repairers",2,2,3,17.1,3.4,1.7,53990
Electrical and electronic engineering technologists and technicians,5,1,1,93.7,0.6,8.4,77180
Electrical and electronics drafters,5,1,1,21.6,-5.6,1.7,73720
"Electrical and electronics installers and repairers, transportation equipment",4,1,4,7,6.1,0.6,82730
"Electrical and electronics repairers, commercial and industrial equipment",4,1,4,61.1,-0.8,4.7,71300
"Electrical and electronics repairers, powerhouse, substation, and relay",4,2,3,23.4,5.5,2,100940
Electrical engineers,6,1,1,192,7.2,11.7,111910
Electrical power-line installers and repairers,2,1,4,127.4,6.6,10.7,92560
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",2,1,3,261.4,4.6,29.6,44040
Electricians,2,1,5,818.7,9.5,81,62350
Electro-mechanical and mechatronics technologists and technicians,5,1,1,15,1.1,1.3,70760
"Electronic equipment installers and repairers, motor vehicles",2,1,3,10.3,-13.6,0.6,47940
"Electronics engineers, except computer",6,1,1,95.9,6.2,5.7,127590
"Elementary school teachers, except special education",6,1,1,1422.7,-2,91,62340
Elevator and escalator installers and repairers,2,1,5,24.2,5,2,106580
"Eligibility interviewers, government programs",2,1,3,166.8,1,14,51500
Embalmers,5,1,4,3.6,1.3,0.6,56280
Emergency management directors,6,3,1,13.2,3,1,86130
Emergency medical technicians,4,1,1,181,5.1,14.1,41340
Emergency medicine physicians,8,1,6,36.1,2.7,1,239200
Engine and other machine assemblers,2,1,3,38.4,-21.1,2.8,52540
"Engineering teachers, postsecondary",8,1,1,50.3,8.1,4.1,106120
"Engineering technologists and technicians, except drafters, all other",5,1,1,67.3,1.5,5.7,77390
"Engineers, all other",6,1,1,158.8,2.1,9.3,117750
"English language and literature teachers, postsecondary",8,1,1,72.2,0,5.1,78270
"Entertainment and recreation managers, except gambling",6,2,1,43.2,7.7,5.5,77180
"Entertainment attendants and related workers, all other",2,1,2,8.5,3.6,2.2,34550
Environmental engineering technologists and technicians,5,1,1,12.9,1.2,1.1,58890
Environmental engineers,6,1,1,39.4,3.9,3,104170
"Environmental science and protection technicians, including health",5,1,1,40.4,4,5.6,49490
"Environmental science teachers, postsecondary",8,1,1,9,2.9,0.7,87710
"Environmental scientists and specialists, including health",6,1,1,90.3,4.4,8.5,80060
Epidemiologists,7,1,1,12.3,16.2,0.8,83980
Etchers and engravers,2,1,3,8.6,-0.7,0.9,40450
"Excavating and loading machine and dragline operators, surface mining",2,2,3,35.8,-0.4,3.1,52550
Executive secretaries and executive administrative assistants,2,2,1,502.8,-1.6,50,74260
Exercise physiologists,6,1,1,23.9,9.5,1.7,58160
Exercise trainers and group fitness instructors,2,1,2,370.1,11.9,74.2,46180
"Explosives workers, ordnance handling experts, and blasters",2,2,4,5.8,-0.9,0.5,59110
"Extraction workers, all other",2,1,3,6.3,1.4,0.7,50110
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",2,1,3,66,1.2,6.5,46980
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",2,1,3,15.2,-1.1,2,44980
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",2,1,3,57.3,2,5.2,45130
Fabric and apparel patternmakers,2,1,3,2.8,-10.2,0.3,67670
Facilities managers,6,2,1,151.4,3.8,13.2,104690
Fallers,2,1,3,5.6,-7.3,0.7,53900
"Family and consumer sciences teachers, postsecondary",8,1,1,3.2,3.4,0.2,77280
Family medicine physicians,8,1,6,116,2.7,3.3,238380
Farm and home management educators,7,1,1,12.4,-2.5,1.1,58120
Farm equipment mechanics and service technicians,2,1,4,39,11,3.7,52080
Farm labor contractors,1,2,2,3.9,6,0.3,48690
"Farmers, ranchers, and other agricultural managers",2,3,1,836.1,-1.3,85.5,87980
"Farmworkers and laborers, crop, nursery, and greenhouse",1,1,2,504.8,-3.3,71.7,35690
"Farmworkers, farm, ranch, and aquacultural animals",1,1,2,224.6,-5,31.2,36150
Fashion designers,6,1,1,25.7,2,2.3,80690
Fast food and counter workers,1,1,2,3796,6.1,904.3,30480
Fence erectors,1,1,3,26.4,4.6,2.3,46940
Fiberglass laminators and fabricators,2,1,3,18.6,4.2,2.1,45760
File clerks,2,1,2,84.3,-15.9,7.3,41270
Film and video editors,6,1,1,43.5,4,3.6,70980
Financial and investment analysts,6,1,1,368.5,5.7,25.1,101350
"Financial clerks, all other",2,1,2,38.9,1.4,4,52150
Financial examiners,6,1,4,65.1,18.5,5.7,90400
Financial managers,6,3,1,868.6,14.8,74.6,161700
Financial risk specialists,6,1,1,60.5,6.5,4.8,106000
"Financial specialists, all other",6,1,1,137.1,3.1,10.3,80190
"Fine artists, including painters, sculptors, and illustrators",6,1,4,26.5,-1.2,2.2,60560
Fire inspectors and investigators,4,3,3,14.7,3.8,1.5,78060
Firefighters,4,1,4,344.9,3.4,27.1,59530
First-line supervisors of construction trades and extraction workers,2,3,1,921.6,5.3,74.4,78690
First-line supervisors of correctional officers,2,2,1,57.1,-2.8,4.3,76310
"First-line supervisors of entertainment and recreation workers, except gambling services",2,2,1,123.3,6.3,13.4,46900
"First-line supervisors of farming, fishing, and forestry workers",2,2,1,65.4,2.5,8.5,59330
First-line supervisors of firefighting and prevention workers,4,2,3,97.2,3.4,6.5,92430
First-line supervisors of food preparation and serving workers,2,2,1,1215,6,183.9,42010
First-line supervisors of gambling services workers,2,2,1,32.5,2,3.3,61590
First-line supervisors of housekeeping and janitorial workers,2,2,1,269.8,2.5,33,47520
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",2,2,1,224.7,2.3,23.2,56170
"First-line supervisors of mechanics, installers, and repairers",2,2,1,617.5,3.1,52.4,78300
First-line supervisors of non-retail sales workers,2,2,1,320,0,24.8,84130
First-line supervisors of office and administrative support workers,2,2,1,1558.4,-0.3,144.5,66140
First-line supervisors of personal service workers,2,2,1,149.1,6.7,16.3,47080
First-line supervisors of police and detectives,2,2,3,160.8,2.9,10.9,105980
First-line supervisors of production and operating workers,2,2,1,698.6,1.2,67.7,71190
"First-line supervisors of protective service workers, all other",2,2,1,21.5,1.6,2.1,74960
First-line supervisors of retail sales workers,2,2,1,1432.6,-5,125.1,47320
First-line supervisors of security workers,2,2,1,71.9,2.7,7,58610
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",2,2,1,609.6,3.7,61.3,61890
Fish and game wardens,6,1,3,7,-6,0.5,68180
Flight attendants,2,2,3,130.8,9.2,19.8,67130
"Floor layers, except carpet, wood, and hard tiles",1,1,3,33.7,9.5,2.7,54340
Floor sanders and finishers,1,1,3,5.6,2.6,0.4,49150
Floral designers,2,1,3,43.8,-5.9,5.1,36120
"Food and tobacco roasting, baking, and drying machine operators and tenders",1,1,3,20.7,0.6,2.4,42730
Food batchmakers,2,1,3,173.5,6.9,24.2,40790
Food cooking machine operators and tenders,2,1,3,29.7,0.6,4.4,40550
"Food preparation and serving related workers, all other",1,1,2,90.5,6.4,14.6,34830
Food preparation workers,1,1,2,902.7,-3.4,148,34220
"Food processing workers, all other",1,1,3,58.7,5.3,6.5,38420
Food science technicians,5,1,3,20.4,4.8,3.2,49430
Food scientists and technologists,6,1,1,15.2,6.5,1.2,85310
"Food servers, nonrestaurant",1,1,2,277.2,3,48,34460
Food service managers,2,2,2,352.8,6.4,42,65310
"Foreign language and literature teachers, postsecondary",8,1,1,26.4,-0.2,1.9,77010
Forensic science technicians,6,1,3,20.7,12.8,2.9,67440
Forest and conservation technicians,5,1,1,33.8,-3.2,3.9,54310
Forest and conservation workers,2,1,3,10.8,-4.7,2,43680
Forest fire inspectors and prevention specialists,2,2,3,2.9,14.6,0.3,52380
Foresters,6,1,1,13.8,1.2,1.1,70660
"Forestry and conservation science teachers, postsecondary",8,1,1,1.6,4,0.1,100830
"Forging machine setters, operators, and tenders, metal and plastic",2,1,3,8.8,-18.9,0.6,49240
Foundry mold and coremakers,2,1,3,12.7,-25.9,0.9,45700
Fundraisers,6,1,1,134.4,4.3,10.2,66490
Fundraising managers,6,3,1,45.7,4.2,3.6,123480
Funeral attendants,2,1,2,32.5,3.1,5.7,34610
Funeral home managers,5,2,1,32.1,4.1,2.6,76830
"Furnace, kiln, oven, drier, and kettle operators and tenders",2,1,3,16.5,3,1.9,47010
Furniture finishers,2,1,2,20.5,-3.3,2,42530
Gambling and sports book writers and runners,2,1,2,8.2,-6.1,1.2,30460
Gambling cage workers,2,1,2,14.1,-5,1.3,36990
Gambling change persons and booth cashiers,1,1,2,22.6,-6.4,4,34810
Gambling dealers,2,1,2,88.7,-0.6,14.1,33280
Gambling managers,2,2,1,5.1,1.2,0.6,85580
"Gambling service workers, all other",2,1,2,16.1,-0.6,2.6,34530
Gambling surveillance officers and gambling investigators,2,2,3,10.3,0.3,1.3,43900
Gas compressor and gas pumping station operators,2,1,3,5.4,-1.3,0.6,71510
Gas plant operators,2,1,4,16.2,-8.8,1.3,83400
General and operations managers,6,3,1,3712.9,4.4,308.7,102950
General internal medicine physicians,8,1,6,73.2,3.3,2.1,236350
Genetic counselors,7,1,1,4,9.3,0.3,98910
Geographers,6,1,1,1.5,-3.1,0.1,97200
"Geography teachers, postsecondary",8,1,1,4,3.3,0.3,86730
"Geological technicians, except hydrologic technicians",5,1,3,9.8,1.5,1.3,48390
"Geoscientists, except hydrologists and geographers",6,1,1,25.1,3.2,2,99240
Glaziers,2,1,5,60.5,3.3,5.1,55440
"Graders and sorters, agricultural products",1,1,2,38.9,-5.4,5.1,35430
Graphic designers,6,1,1,265.9,2.1,20,61300
"Grinding and polishing workers, hand",1,1,3,11.8,-21.2,0.8,41690
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",2,1,3,70.1,-12,5.5,45190
"Grounds maintenance workers, all other",1,1,2,14.1,2.4,1.9,43410
"Hairdressers, hairstylists, and cosmetologists",4,1,1,575.2,5.6,75.8,35250
Hazardous materials removal workers,2,1,3,51.3,1,5,48490
"Health and safety engineers, except mining safety engineers and inspectors",6,1,1,23.8,4.4,1.5,109660
Health education specialists,6,1,1,71.8,4.5,7.9,63000
Health information technologists and medical registrars,5,1,1,41.9,14.7,3.2,67310
"Health specialties teachers, postsecondary",8,2,1,289.6,17.3,27.4,105620
"Health technologists and technicians, all other",4,1,1,178.8,5.2,13.6,48790
"Healthcare diagnosing or treating practitioners, all other",7,1,1,41.3,2,2.4,113730
"Healthcare practitioners and technical workers, all other",4,1,1,41.7,3.6,2.6,64030
Healthcare social workers,7,1,6,193.2,7.7,18.4,68090
"Healthcare support workers, all other",2,1,1,109.7,3.5,14.4,46050
Hearing aid specialists,2,1,3,10.7,18.4,1,61560
"Heat treating equipment setters, operators, and tenders, metal and plastic",2,1,3,14.8,-12.8,1.2,47450
"Heating, air conditioning, and refrigeration mechanics and installers",4,1,4,425.2,8.1,40.1,59810
Heavy and tractor-trailer truck drivers,4,1,2,2235.1,4,237.6,57440
"Helpers, construction trades, all other",1,1,2,26.3,4.4,2.8,40760
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",1,1,2,16.1,-10.5,1.4,46480
Helpers--carpenters,1,1,2,25.2,4.5,2.7,41600
Helpers--electricians,2,1,2,66.6,0.2,6.8,39890
Helpers--extraction workers,2,1,3,7,-1.7,0.7,48400
"Helpers--installation, maintenance, and repair workers",2,1,2,98.7,2.3,11.8,38860
"Helpers--painters, paperhangers, plasterers, and stucco masons",1,1,2,7.4,2.3,0.8,38140
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",2,1,2,45.3,4.9,4.9,39270
Helpers--production workers,2,1,2,168.5,-8.9,23.6,38220
Helpers--roofers,1,1,2,5.2,5.7,0.6,40590
Highway maintenance workers,2,1,3,159.1,3,12.3,49070
Historians,7,1,1,3.4,2.2,0.3,74050
"History teachers, postsecondary",8,1,1,24.6,-0.2,1.7,81500
Hoist and winch operators,1,1,2,2.7,-1.1,0.3,52310
Home appliance repairers,2,1,3,37.3,2.6,3.1,49410
Home health and personal care aides,2,1,2,4347.7,17,765.8,34900
"Hosts and hostesses, restaurant, lounge, and coffee shop",1,1,2,429.9,-1.5,107.7,30380
"Hotel, motel, and resort desk clerks",2,1,2,264.2,3.7,43.6,34270
"Human resources assistants, except payroll and timekeeping",5,1,1,95.2,-7.1,9,49440
Human resources managers,6,3,1,221.9,5,17.9,140030
Human resources specialists,6,1,1,944.3,6.2,81.8,72910
Hydrologic technicians,5,1,3,3.1,-2.1,0.4,58570
Hydrologists,6,1,1,6.3,-0.1,0.5,92060
Industrial engineering technologists and technicians,5,1,1,74.6,1.7,6.3,64790
Industrial engineers,6,1,1,351.1,11,25.2,101140
Industrial machinery mechanics,2,1,4,439.6,16.1,45.7,63760
